,pt_BR,en
HABILIDADE: %s   •   ESCOLHA UM ESTILO E APROFUNDE A CONSTRUÇÃO,HABILIDADE: %s   •   ESCOLHA UM ESTILO E APROFUNDE A CONSTRUÇÃO,ABILITY: %s   •   CHOOSE A STYLE AND DEVELOP YOUR BUILD
RECALCULAR (%d),RECALCULAR (%d),REROLL (%d)
Não foi possível criar a sala na porta UDP %d.,Não foi possível criar a sala na porta UDP %d.,Could not create a room on UDP port %d.
Sala criada • IP %s • porta UDP %d,Sala criada • IP %s • porta UDP %d,Room created • IP %s • UDP port %d
indisponível,indisponível,unavailable
Digite o IP do host.,Digite o IP do host.,Enter the host IP.
Não foi possível iniciar a conexão com %s.,Não foi possível iniciar a conexão com %s.,Could not connect to %s.
Conectando a %s:%d...,Conectando a %s:%d...,Connecting to %s:%d...
Busca automática indisponível; ainda é possível digitar o IP.,Busca automática indisponível; ainda é possível digitar o IP.,Automatic search is unavailable; you can still enter the IP.
Aguardando pelo menos dois jogadores na sala.,Aguardando pelo menos dois jogadores na sala.,Waiting for at least two players in the room.
Piloto conectado. Recebendo nickname...,Piloto conectado. Recebendo nickname...,Pilot connected. Receiving nickname...
Um jogador saiu da sala.,Um jogador saiu da sala.,A player left the room.
Conectado ao lobby.,Conectado ao lobby.,Connected to the lobby.
Falha ao conectar. Confira o IP e a porta UDP %d.,Falha ao conectar. Confira o IP e a porta UDP %d.,Connection failed. Check the IP and UDP port %d.
O host encerrou a sala.,O host encerrou a sala.,The host closed the room.
CONEXÃO PERDIDA: o host encerrou a partida.,CONEXÃO PERDIDA: o host encerrou a partida.,CONNECTION LOST: the host ended the match.
Atualizações automáticas não estão disponíveis nesta plataforma.,Atualizações automáticas não estão disponíveis nesta plataforma.,Automatic updates are not available on this platform.
Não foi possível iniciar a verificação de atualizações.,Não foi possível iniciar a verificação de atualizações.,Could not start the update check.
Sem conexão com o servidor de atualizações.,Sem conexão com o servidor de atualizações.,Could not connect to the update server.
O servidor limitou temporariamente as verificações. Tente novamente mais tarde.,O servidor limitou temporariamente as verificações. Tente novamente mais tarde.,The server temporarily limited update checks. Try again later.
O servidor de atualizações respondeu com erro HTTP %d.,O servidor de atualizações respondeu com erro HTTP %d.,The update server returned HTTP error %d.
O servidor retornou uma versão inválida.,O servidor retornou uma versão inválida.,The server returned an invalid version.
O arquivo desta atualização não foi encontrado.,O arquivo desta atualização não foi encontrado.,The update file was not found.
Esta plataforma não possui instalação automática.,Esta plataforma não possui instalação automática.,This platform does not support automatic installation.
Não foi possível abrir a página de download do itch.io.,Não foi possível abrir a página de download do itch.io.,Could not open the itch.io download page.
Nenhum controle conectado. Conecte-o antes ou durante o jogo.,Nenhum controle conectado. Conecte-o antes ou durante o jogo.,No controller connected. Connect one before or during the game.
Detectado: %s,Detectado: %s,Detected: %s
✦  CONQUISTA DESBLOQUEADA,✦  CONQUISTA DESBLOQUEADA,✦  ACHIEVEMENT UNLOCKED
ÁREA SEGURA — MOVA-SE,ÁREA SEGURA — MOVA-SE,SAFE AREA — MOVE NOW
Recarga: %.1f s,Recarga: %.1f s,Cooldown: %.1f s
PRIMEIRO BRILHO,PRIMEIRO BRILHO,FIRST SPARK
Derrote o primeiro inimigo.,Derrote o primeiro inimigo.,Defeat your first enemy.
PEQUENA CONSTELAÇÃO,PEQUENA CONSTELAÇÃO,SMALL CONSTELLATION
Derrote 10 inimigos.,Derrote 10 inimigos.,Defeat 10 enemies.
CÉU MOVIMENTADO,CÉU MOVIMENTADO,BUSY SKY
Derrote 50 inimigos.,Derrote 50 inimigos.,Defeat 50 enemies.
ÓRBITA VETERANA,ÓRBITA VETERANA,VETERAN ORBIT
Derrote 250 inimigos.,Derrote 250 inimigos.,Defeat 250 enemies.
LENDA CROMÁTICA,LENDA CROMÁTICA,CHROMATIC LEGEND
Derrote 1.000 inimigos.,Derrote 1.000 inimigos.,"Defeat 1,000 enemies."
RECICLAGEM COMPLETA,RECICLAGEM COMPLETA,FULLY RECYCLED
Derrote PET-0.,Derrote PET-0.,Defeat PET-0.
DEPOIS DA PRIMAVERA,DEPOIS DA PRIMAVERA,AFTER SPRING
Derrote o Florecimento.,Derrote o Florecimento.,Defeat Bloom.
CONSTELAÇÃO ACOLHIDA,CONSTELAÇÃO ACOLHIDA,EMBRACED CONSTELLATION
Derrote a Constelação do Amparo.,Derrote a Constelação do Amparo.,Defeat the Constellation of Care.
NÓ DESATADO,NÓ DESATADO,KNOT UNDONE
Derrote o Nó de Ametista.,Derrote o Nó de Ametista.,Defeat the Amethyst Knot.
LUZ APÓS O ECLIPSE,LUZ APÓS O ECLIPSE,LIGHT AFTER THE ECLIPSE
Derrote a Sizígia Eterna.,Derrote a Sizígia Eterna.,Defeat the Eternal Syzygy.
PRIMEIRO GUARDIÃO,PRIMEIRO GUARDIÃO,FIRST GUARDIAN
Derrote qualquer boss.,Derrote qualquer boss.,Defeat any boss.
TRÊS CORES DO VAZIO,TRÊS CORES DO VAZIO,THREE COLORS OF THE VOID
Derrote três bosses diferentes.,Derrote três bosses diferentes.,Defeat three different bosses.
PALETA COMPLETA,PALETA COMPLETA,FULL PALETTE
Derrote os cinco bosses.,Derrote os cinco bosses.,Defeat all five bosses.
CICLO CROMÁTICO,CICLO CROMÁTICO,CHROMATIC CYCLE
Conclua uma partida derrotando os cinco bosses.,Conclua uma partida derrotando os cinco bosses.,Complete a run by defeating all five bosses.
SINAL DA ESTRELA,SINAL DA ESTRELA,SIGN OF THE STAR
Conclua um ciclo cromático completo para revelar o Modelo O na loja.,Conclua um ciclo cromático completo para revelar o Modelo O na loja.,Complete a full chromatic cycle to reveal Model O in the shop.
CADEIA CROMÁTICA,CADEIA CROMÁTICA,CHROMATIC CHAIN
Alcance multiplicador de combo 10.,Alcance multiplicador de combo 10.,Reach a 10x combo multiplier.
ÓRBITA PERFEITA,ÓRBITA PERFEITA,PERFECT ORBIT
Alcance multiplicador de combo 25.,Alcance multiplicador de combo 25.,Reach a 25x combo multiplier.
ESPECTRO COMPLETO,ESPECTRO COMPLETO,FULL SPECTRUM
Alcance multiplicador de combo 50.,Alcance multiplicador de combo 50.,Reach a 50x combo multiplier.
COMETA ININTERRUPTO,COMETA ININTERRUPTO,UNBROKEN COMET
Alcance multiplicador de combo 100.,Alcance multiplicador de combo 100.,Reach a 100x combo multiplier.
ESPECTRO INFINITO,ESPECTRO INFINITO,INFINITE SPECTRUM
Alcance multiplicador de combo 213.,Alcance multiplicador de combo 213.,Reach a 213x combo multiplier.
PRIMEIRA MARCA,PRIMEIRA MARCA,FIRST MARK
Alcance 25.000 pontos em uma partida.,Alcance 25.000 pontos em uma partida.,"Score 25,000 points in one run."
CEM MIL CORES,CEM MIL CORES,ONE HUNDRED THOUSAND COLORS
Alcance 100.000 pontos em uma partida.,Alcance 100.000 pontos em uma partida.,"Score 100,000 points in one run."
ALÉM DO VAZIO,ALÉM DO VAZIO,BEYOND THE VOID
Alcance 500.000 pontos em uma partida.,Alcance 500.000 pontos em uma partida.,"Score 500,000 points in one run."
UM MILHÃO DE CORES,UM MILHÃO DE CORES,ONE MILLION COLORS
Alcance 1 milhão de pontos em uma partida.,Alcance 1 milhão de pontos em uma partida.,Score 1 million points in one run.
GALÁXIA ACESA,GALÁXIA ACESA,LIT GALAXY
Alcance 5 milhões de pontos em uma partida.,Alcance 5 milhões de pontos em uma partida.,Score 5 million points in one run.
DEZ MILHÕES,DEZ MILHÕES,TEN MILLION
Alcance 10 milhões de pontos em uma partida.,Alcance 10 milhões de pontos em uma partida.,Score 10 million points in one run.
CÉU CROMÁTICO,CÉU CROMÁTICO,CHROMATIC SKY
Alcance 20 milhões de pontos em uma partida.,Alcance 20 milhões de pontos em uma partida.,Score 20 million points in one run.
ALÉM DO ESPECTRO,ALÉM DO ESPECTRO,BEYOND THE SPECTRUM
Alcance 25 milhões de pontos em uma partida.,Alcance 25 milhões de pontos em uma partida.,Score 25 million points in one run.
VELOCIDADE MÁXIMA,VELOCIDADE MÁXIMA,MAXIMUM SPEED
Alcance 75 milhões de pontos em uma partida.,Alcance 75 milhões de pontos em uma partida.,Score 75 million points in one run.
BRILHO INTACTO,BRILHO INTACTO,UNTOUCHED GLOW
Permaneça 60 segundos sem sofrer dano.,Permaneça 60 segundos sem sofrer dano.,Survive 60 seconds without taking damage.
DANÇA IMPECÁVEL,DANÇA IMPECÁVEL,FLAWLESS DANCE
Permaneça 3 minutos sem sofrer dano.,Permaneça 3 minutos sem sofrer dano.,Survive 3 minutes without taking damage.
LUZ INALCANÇÁVEL,LUZ INALCANÇÁVEL,UNREACHABLE LIGHT
Permaneça 5 minutos sem sofrer dano.,Permaneça 5 minutos sem sofrer dano.,Survive 5 minutes without taking damage.
PODER INALTERADO,PODER INALTERADO,UNCHANGED POWER
Conclua uma partida sem escolher nenhum upgrade de partida.,Conclua uma partida sem escolher nenhum upgrade de partida.,Complete a run without choosing any in-run upgrades.
SETOR 01 • ORIGEM,SETOR 01 • ORIGEM,SECTOR 01 • ORIGIN
A formação original do jogo e o território do PET-0.,A formação original do jogo e o território do PET-0.,The game's original formation and PET-0's territory.
PRIMAVERA • SETEMBRO,PRIMAVERA • SETEMBRO,SPRING • SEPTEMBER
"Espinhos, pétalas e vinhas transformam a arena em uma dança.","Espinhos, pétalas e vinhas transformam a arena em uma dança.","Thorns, petals, and vines turn the arena into a dance."
ÓRBITA DA SIZÍGIA,ÓRBITA DA SIZÍGIA,ORBIT OF SYZYGY
SOL • LUA • ECLIPSE ABSOLUTO,SOL • LUA • ECLIPSE ABSOLUTO,SUN • MOON • ABSOLUTE ECLIPSE
A rota mais longa culmina na união dos dois astros.,A rota mais longa culmina na união dos dois astros.,The longest route culminates in the union of both celestial bodies.
CONSTELAÇÃO DO AMPARO,CONSTELAÇÃO DO AMPARO,CONSTELLATION OF CARE
AGOSTO DOURADO • CUIDADO,AGOSTO DOURADO • CUIDADO,GOLDEN AUGUST • CARE
"Satélites cooperam, formam elos e protegem o núcleo da constelação.","Satélites cooperam, formam elos e protegem o núcleo da constelação.","Satellites cooperate, form bonds, and protect the constellation's core."
NÓ DE AMETISTA,NÓ DE AMETISTA,AMETHYST KNOT
AGOSTO LILÁS,AGOSTO LILÁS,PURPLE AUGUST
Fitas cristalinas tecem caminhos perigosos que precisam ser desatados.,Fitas cristalinas tecem caminhos perigosos que precisam ser desatados.,Crystalline ribbons weave dangerous paths that must be untied.
"Olá! Eu sou o Astro, seu guia pelo Chromatic Void e pelas histórias do Monthly Colors!","Olá! Eu sou o Astro, seu guia pelo Chromatic Void e pelas histórias do Monthly Colors!","Hello! I'm Astro, your guide through Chromatic Void and the stories of Monthly Colors!"
"Janeiro recebeu esse nome por causa de Janus, o deus romano que olhava para o passado e para o futuro.","Janeiro recebeu esse nome por causa de Janus, o deus romano que olhava para o passado e para o futuro.","January was named after Janus, the Roman god who looked to both the past and the future."
"No calendário romano original, o ano começava em março e possuía apenas dez meses.","No calendário romano original, o ano começava em março e possuía apenas dez meses.","In the original Roman calendar, the year began in March and had only ten months."
No começo de janeiro acontece o periélio: o ponto em que a Terra fica mais próxima do Sol.,No começo de janeiro acontece o periélio: o ponto em que a Terra fica mais próxima do Sol.,"Perihelion happens in early January, when Earth is closest to the Sun."
"A Lua Cheia de janeiro é chamada [color=#72e7ff]Lua do Lobo[/color], por uma tradição do Hemisfério Norte.","A Lua Cheia de janeiro é chamada [color=#72e7ff]Lua do Lobo[/color], por uma tradição do Hemisfério Norte.","January's full moon is called the [color=#72e7ff]Wolf Moon[/color], following a Northern Hemisphere tradition."
"Fevereiro vem de [i]Februarius[/i], nome ligado a um antigo ritual romano de purificação.","Fevereiro vem de [i]Februarius[/i], nome ligado a um antigo ritual romano de purificação.","February comes from [i]Februarius[/i], a name tied to an ancient Roman purification ritual."
A [color=#72e7ff]Lua da Neve[/color] recebeu esse nome por causa das nevascas de fevereiro no Hemisfério Norte.,A [color=#72e7ff]Lua da Neve[/color] recebeu esse nome por causa das nevascas de fevereiro no Hemisfério Norte.,The [color=#72e7ff]Snow Moon[/color] was named after February snowstorms in the Northern Hemisphere.
"O Carnaval possui raízes em festas antigas e, no Brasil, misturou influências africanas, indígenas e europeias.","O Carnaval possui raízes em festas antigas e, no Brasil, misturou influências africanas, indígenas e europeias.","Carnival has roots in ancient festivals and, in Brazil, blended African, Indigenous, and European influences."
"Março vem de Marte, que além da guerra também era considerado protetor da agricultura pelos romanos.","Março vem de Marte, que além da guerra também era considerado protetor da agricultura pelos romanos.","March comes from Mars, whom the Romans regarded as a protector of agriculture as well as a god of war."
"No equinócio de março, dia e noite ficam com durações muito próximas em todo o planeta.","No equinócio de março, dia e noite ficam com durações muito próximas em todo o planeta.","At the March equinox, day and night are nearly equal in length across the planet."
A [color=#72e7ff]Lua do Verme[/color] marca o degelo e o retorno das minhocas no Hemisfério Norte.,A [color=#72e7ff]Lua do Verme[/color] marca o degelo e o retorno das minhocas no Hemisfério Norte.,The [color=#72e7ff]Worm Moon[/color] marks the thaw and the return of earthworms in the Northern Hemisphere.
"Abril pode vir do latim [i]aperire[/i], que significa abrir, como as flores na primavera do Hemisfério Norte.","Abril pode vir do latim [i]aperire[/i], que significa abrir, como as flores na primavera do Hemisfério Norte.","April may come from the Latin [i]aperire[/i], meaning to open, like flowers in Northern Hemisphere spring."
"A [color=#ff8fd8]Lua Rosa[/color] não fica rosa, o nome vem de uma flor que desabrocha em abril.","A [color=#ff8fd8]Lua Rosa[/color] não fica rosa, o nome vem de uma flor que desabrocha em abril.",The [color=#ff8fd8]Pink Moon[/color] does not turn pink; its name comes from a flower that blooms in April.
O Dia da Terra é celebrado em 22 de abril e chama atenção para a preservação ambiental.,O Dia da Terra é celebrado em 22 de abril e chama atenção para a preservação ambiental.,Earth Day is celebrated on April 22 and draws attention to environmental preservation.
"O nome do mês de Maio homenageia Maia, deusa romana ligada ao crescimento e à fertilidade.","O nome do mês de Maio homenageia Maia, deusa romana ligada ao crescimento e à fertilidade.","May is named after Maia, a Roman goddess associated with growth and fertility."
A [color=#72e7ff]Lua das Flores[/color] representa o período de muitas flores silvestres no Hemisfério Norte.,A [color=#72e7ff]Lua das Flores[/color] representa o período de muitas flores silvestres no Hemisfério Norte.,The [color=#72e7ff]Flower Moon[/color] represents the season of abundant wildflowers in the Northern Hemisphere.
"Junho recebeu esse nome em homenagem a Juno, divindade romana ligada à família.","Junho recebeu esse nome em homenagem a Juno, divindade romana ligada à família.","June was named after Juno, the Roman deity associated with family."
"As festas juninas celebram Santo Antônio no dia 13, São João no dia 24 e São Pedro no dia 29.","As festas juninas celebram Santo Antônio no dia 13, São João no dia 24 e São Pedro no dia 29.","Brazil's June festivals celebrate Saint Anthony on the 13th, Saint John on the 24th, and Saint Peter on the 29th."
O solstício de junho traz o dia mais curto e a noite mais longa do ano para o Hemisfério Sul.,O solstício de junho traz o dia mais curto e a noite mais longa do ano para o Hemisfério Sul.,The June solstice brings the shortest day and longest night of the year to the Southern Hemisphere.
A [color=#ff7070]Lua de Morango[/color] não fica vermelha: o nome vem da época de colher morangos silvestres.,A [color=#ff7070]Lua de Morango[/color] não fica vermelha: o nome vem da época de colher morangos silvestres.,The [color=#ff7070]Strawberry Moon[/color] does not turn red; its name comes from the wild strawberry harvest season.
Julho já se chamou [i]Quintilis[/i] e foi renomeado em homenagem a Júlio César.,Julho já se chamou [i]Quintilis[/i] e foi renomeado em homenagem a Júlio César.,July was once called [i]Quintilis[/i] and was renamed in honor of Julius Caesar.
A [color=#72e7ff]Lua dos Cervos[/color] lembra a época em que novas galhadas crescem nesses animais.,A [color=#72e7ff]Lua dos Cervos[/color] lembra a época em que novas galhadas crescem nesses animais.,The [color=#72e7ff]Buck Moon[/color] recalls the season when deer grow new antlers.
Agosto já se chamou [i]Sextilis[/i] e recebeu o nome atual em homenagem ao imperador César Augusto.,Agosto já se chamou [i]Sextilis[/i] e recebeu o nome atual em homenagem ao imperador César Augusto.,August was once called [i]Sextilis[/i] and received its current name in honor of Emperor Augustus.
A [color=#72e7ff]Lua do Esturjão[/color] lembra a época de pesca abundante desse peixe nos grandes lagos.,A [color=#72e7ff]Lua do Esturjão[/color] lembra a época de pesca abundante desse peixe nos grandes lagos.,The [color=#72e7ff]Sturgeon Moon[/color] recalls the season when these fish were plentiful in the Great Lakes.
"Setembro vem de [i]septem[/i], sete em latim, porque já foi o sétimo mês do calendário romano.","Setembro vem de [i]septem[/i], sete em latim, porque já foi o sétimo mês do calendário romano.","September comes from [i]septem[/i], Latin for seven, because it was once the seventh month of the Roman calendar."
A [color=#ffd86b]Lua da Colheita[/color] é a Lua Cheia mais próxima do equinócio de setembro.,A [color=#ffd86b]Lua da Colheita[/color] é a Lua Cheia mais próxima do equinócio de setembro.,The [color=#ffd86b]Harvest Moon[/color] is the full moon closest to the September equinox.
"Outubro vem de [i]octo[/i], oito em latim, embora hoje seja o décimo mês.","Outubro vem de [i]octo[/i], oito em latim, embora hoje seja o décimo mês.","October comes from [i]octo[/i], Latin for eight, although it is now the tenth month."
A [color=#72e7ff]Lua do Caçador[/color] é a Lua Cheia que tradicionalmente sucede a Lua da Colheita.,A [color=#72e7ff]Lua do Caçador[/color] é a Lua Cheia que tradicionalmente sucede a Lua da Colheita.,The [color=#72e7ff]Hunter's Moon[/color] is the full moon that traditionally follows the Harvest Moon.
"Novembro vem de [i]novem[/i], nove em latim, posição que ocupava no calendário romano antigo.","Novembro vem de [i]novem[/i], nove em latim, posição que ocupava no calendário romano antigo.","November comes from [i]novem[/i], Latin for nine, its position in the ancient Roman calendar."
A [color=#72e7ff]Lua do Castor[/color] está ligada ao período de preparação para o inverno no Hemisfério Norte.,A [color=#72e7ff]Lua do Castor[/color] está ligada ao período de preparação para o inverno no Hemisfério Norte.,The [color=#72e7ff]Beaver Moon[/color] is tied to preparations for winter in the Northern Hemisphere.
"Dezembro vem de [i]decem[/i], dez em latim, embora atualmente encerre os doze meses do ano.","Dezembro vem de [i]decem[/i], dez em latim, embora atualmente encerre os doze meses do ano.","December comes from [i]decem[/i], Latin for ten, although it now ends the twelve-month year."
A [color=#72e7ff]Lua Fria[/color] recebeu esse nome por causa das noites longas de dezembro no Hemisfério Norte.,A [color=#72e7ff]Lua Fria[/color] recebeu esse nome por causa das noites longas de dezembro no Hemisfério Norte.,The [color=#72e7ff]Cold Moon[/color] was named after December's long nights in the Northern Hemisphere.
Gostou da curiosidade? Há muito mais nos cards de [rainbow][wave]tami4lvess.github.io/Monthly-Colors[/wave][/rainbow]!,Gostou da curiosidade? Há muito mais nos cards de [rainbow][wave]tami4lvess.github.io/Monthly-Colors[/wave][/rainbow]!,Enjoyed the fact? There is much more in the cards at [rainbow][wave]tami4lvess.github.io/Monthly-Colors[/wave][/rainbow]!
"O Monthly Colors também reúne campanhas, datas e fases da Lua. Visite o site e escolha um mês para explorar!","O Monthly Colors também reúne campanhas, datas e fases da Lua. Visite o site e escolha um mês para explorar!","Monthly Colors also brings together campaigns, dates, and moon phases. Visit the site and choose a month to explore!"
Agora vou te ensinar o básico sobre o jogo.,Agora vou te ensinar o básico sobre o jogo.,Now I'll teach you the basics of the game.
"O jogo ainda está em desenvolvimento, então podem existir alguns erros.","O jogo ainda está em desenvolvimento, então podem existir alguns erros.","The game is still in development, so you may encounter some issues."
Para acelerar use W e para frear use S.,Para acelerar use W e para frear use S.,Press W to accelerate and S to brake.
"Para virar a nave, use o mouse. Nas configurações você pode mudar para usar apenas o teclado.","Para virar a nave, use o mouse. Nas configurações você pode mudar para usar apenas o teclado.","Use the mouse to turn the ship. In Settings, you can switch to keyboard-only controls."
"Para atirar, use o botão esquerdo do mouse ou a tecla [color=yellow]F[/color].","Para atirar, use o botão esquerdo do mouse ou a tecla [color=yellow]F[/color].","To shoot, use the left mouse button or press [color=yellow]F[/color]."
Pressione Espaço para usar sua habilidade especial.,Pressione Espaço para usar sua habilidade especial.,Press Space to use your special ability.
Arraste o analógico do lado esquerdo para apontar e acelerar a nave.,Arraste o analógico do lado esquerdo para apontar e acelerar a nave.,Drag the left stick to aim and accelerate the ship.
Segure [color=yellow]TIRO[/color] para disparar. Você pode mover e atirar com dois dedos ao mesmo tempo.,Segure [color=yellow]TIRO[/color] para disparar. Você pode mover e atirar com dois dedos ao mesmo tempo.,Hold [color=yellow]FIRE[/color] to shoot. You can move and fire with two fingers at the same time.
Toque em [color=yellow]PODER[/color] para usar sua habilidade especial.,Toque em [color=yellow]PODER[/color] para usar sua habilidade especial.,Tap [color=yellow]POWER[/color] to use your special ability.
"Quando houver uma melhoria, toque no aviso no alto da tela. O botão [color=yellow]II[/color] abre a pausa. Toque no texto para avançar mais rápido.","Quando houver uma melhoria, toque no aviso no alto da tela. O botão [color=yellow]II[/color] abre a pausa. Toque no texto para avançar mais rápido.","When an upgrade is available, tap the notice at the top of the screen. The [color=yellow]II[/color] button pauses the game. Tap the text to advance faster."
DANO CALIBRADO,DANO CALIBRADO,CALIBRATED DAMAGE
"Aumenta o dano em +25%, +18%, +14%, +10% e +8%. Forte cedo, controlado depois.","Aumenta o dano em +25%, +18%, +14%, +10% e +8%. Forte cedo, controlado depois.","Increases damage by +25%, +18%, +14%, +10%, and +8%. Strong early, controlled later."
ARMA,ARMA,WEAPON
COMUM,COMUM,COMMON
CÂMARA ACELERADA,CÂMARA ACELERADA,ACCELERATED CHAMBER
"Aumenta muito a cadência nos primeiros níveis, com retornos decrescentes.","Aumenta muito a cadência nos primeiros níveis, com retornos decrescentes.","Greatly increases fire rate in early levels, with diminishing returns."
BLINDAGEM VIVA,BLINDAGEM VIVA,LIVING ARMOR
Aumenta bastante a vida máxima e recupera somente a vida adicionada.,Aumenta bastante a vida máxima e recupera somente a vida adicionada.,Greatly increases maximum health and restores only the health added.
CASCO,CASCO,HULL
PROPULSÃO VETORIAL,PROPULSÃO VETORIAL,VECTOR THRUST
Aumenta aceleração e velocidade; o primeiro nível concede +15%.,Aumenta aceleração e velocidade; o primeiro nível concede +15%.,Increases acceleration and speed; the first level grants +15%.
MOBILIDADE,MOBILIDADE,MOBILITY
NÚCLEO PRISMÁTICO,NÚCLEO PRISMÁTICO,PRISMATIC CORE
"ESTILO PRISMA: duas linhas paralelas, cada uma com 62% do dano. Bloqueia os outros estilos de tiro.","ESTILO PRISMA: duas linhas paralelas, cada uma com 62% do dano. Bloqueia os outros estilos de tiro.","PRISM STYLE: two parallel lines, each dealing 62% damage. Locks out other shot styles."
ESTILO DE TIRO • PRISMA,ESTILO DE TIRO • PRISMA,SHOT STYLE • PRISM
INCOMUM,INCOMUM,UNCOMMON
FORMAÇÃO TRIDENTE,FORMAÇÃO TRIDENTE,TRIDENT FORMATION
PRISMA II: um tiro central e dois laterais a 7°. Cada projétil causa 42% do dano.,PRISMA II: um tiro central e dois laterais a 7°. Cada projétil causa 42% do dano.,PRISM II: one central shot and two side shots at 7°. Each projectile deals 42% damage.
ESTILO PRISMA • EVOLUÇÃO,ESTILO PRISMA • EVOLUÇÃO,PRISM STYLE • EVOLUTION
RARA,RARA,RARE
LEQUE PRISMÁTICO,LEQUE PRISMÁTICO,PRISMATIC FAN
+1 projétil e +8° de cobertura; o dano total permanece próximo de 125%.,+1 projétil e +8° de cobertura; o dano total permanece próximo de 125%.,+1 projectile and +8° coverage; total damage remains near 125%.
NÚCLEO DE IMPACTO,NÚCLEO DE IMPACTO,IMPACT CORE
"ESTILO IMPACTO: projétil maior e muito mais forte, mas 10% mais lento por nível. Bloqueia os outros estilos.","ESTILO IMPACTO: projétil maior e muito mais forte, mas 10% mais lento por nível. Bloqueia os outros estilos.","IMPACT STYLE: a larger, much stronger projectile, but 10% slower per level. Locks out other styles."
ESTILO DE TIRO • IMPACTO,ESTILO DE TIRO • IMPACTO,SHOT STYLE • IMPACT
PONTA PERFURANTE,PONTA PERFURANTE,PIERCING TIP
IMPACTO II: o projétil pesado atravessa +1 inimigo por nível.,IMPACTO II: o projétil pesado atravessa +1 inimigo por nível.,IMPACT II: the heavy projectile pierces +1 enemy per level.
ESTILO IMPACTO • EVOLUÇÃO,ESTILO IMPACTO • EVOLUÇÃO,IMPACT STYLE • EVOLUTION
NÚCLEO DE ESTILHAÇOS,NÚCLEO DE ESTILHAÇOS,SHRAPNEL CORE
ESTILO ESTILHAÇOS: o impacto gera dois fragmentos de 28% do dano; eles não se replicam.,ESTILO ESTILHAÇOS: o impacto gera dois fragmentos de 28% do dano; eles não se replicam.,SHRAPNEL STYLE: impact creates two fragments dealing 28% damage; they do not replicate.
ESTILO DE TIRO • ESTILHAÇOS,ESTILO DE TIRO • ESTILHAÇOS,SHOT STYLE • SHRAPNEL
NÚCLEO PREDADOR,NÚCLEO PREDADOR,PREDATOR CORE
"ESTILO PREDADOR: projéteis perseguem alvos, mas causam somente 88% do dano. Bloqueia os outros estilos.","ESTILO PREDADOR: projéteis perseguem alvos, mas causam somente 88% do dano. Bloqueia os outros estilos.",PREDATOR STYLE: projectiles track targets but deal only 88% damage. Locks out other styles.
ESTILO DE TIRO • PREDADOR,ESTILO DE TIRO • PREDADOR,SHOT STYLE • PREDATOR
NÚCLEO DE RICOCHETE,NÚCLEO DE RICOCHETE,RICOCHET CORE
ESTILO RICOCHETE: projéteis rebatem nas bordas da arena. Bloqueia os outros estilos de tiro.,ESTILO RICOCHETE: projéteis rebatem nas bordas da arena. Bloqueia os outros estilos de tiro.,RICOCHET STYLE: projectiles bounce off arena edges. Locks out other shot styles.
ESTILO DE TIRO • RICOCHETE,ESTILO DE TIRO • RICOCHETE,SHOT STYLE • RICOCHET
FORMAÇÃO CONVERGENTE,FORMAÇÃO CONVERGENTE,CONVERGENT FORMATION
Os projéteis partem separados e convergem à frente. Concentra dano sem bônus oculto.,Os projéteis partem separados e convergem à frente. Concentra dano sem bônus oculto.,Projectiles launch apart and converge ahead. Focuses damage without hidden bonuses.
ONDA DE IMPACTO,ONDA DE IMPACTO,IMPACT WAVE
"Projéteis pesados explodem ao acertar, causando dano em área. Cada nível amplia dano e raio.","Projéteis pesados explodem ao acertar, causando dano em área. Cada nível amplia dano e raio.","Heavy projectiles explode on hit, dealing area damage. Each level increases damage and radius."
RESSONÂNCIA DE BORDA,RESSONÂNCIA DE BORDA,EDGE RESONANCE
Cada ricochete aumenta em 28% o dano restante do projétil e produz um pulso neon.,Cada ricochete aumenta em 28% o dano restante do projétil e produz um pulso neon.,Each ricochet increases the projectile's remaining damage by 28% and creates a neon pulse.
ESTILO RICOCHETE • EVOLUÇÃO,ESTILO RICOCHETE • EVOLUÇÃO,RICOCHET STYLE • EVOLUTION
PREDAÇÃO GRAVITACIONAL,PREDAÇÃO GRAVITACIONAL,GRAVITATIONAL PREDATION
A mira corrige com mais força e recupera parte da penalidade de dano dos projéteis guiados.,A mira corrige com mais força e recupera parte da penalidade de dano dos projéteis guiados.,Tracking corrects more strongly and recovers part of the guided projectiles' damage penalty.
ESTILO PREDADOR • EVOLUÇÃO,ESTILO PREDADOR • EVOLUÇÃO,PREDATOR STYLE • EVOLUTION
ESTILHAÇOS PREDADORES,ESTILHAÇOS PREDADORES,PREDATOR SHRAPNEL
Fragmentos causam +8% do dano-base e recebem uma correção gravitacional leve.,Fragmentos causam +8% do dano-base e recebem uma correção gravitacional leve.,Fragments deal +8% base damage and gain light gravitational guidance.
ESTILO ESTILHAÇOS • EVOLUÇÃO,ESTILO ESTILHAÇOS • EVOLUÇÃO,SHRAPNEL STYLE • EVOLUTION
VETOR OFENSIVO,VETOR OFENSIVO,OFFENSIVE VECTOR
"Quanto mais rápido a nave se move, maior o dano: até +16% por nível.","Quanto mais rápido a nave se move, maior o dano: até +16% por nível.","The faster the ship moves, the greater the damage: up to +16% per level."
PASSIVO • PILOTAGEM,PASSIVO • PILOTAGEM,PASSIVE • PILOTING
